Date;Type;ISIN;Name;Shares;Amount;Currency
10/02/2026;Intereses;;PERIODO 09/01/2026 09/02/2026;0.0;0.13;EUR
06/02/2026;Depósito;;nan;0.0;500.0;EUR
04/02/2026;Depósito;;nan;0.0;500.0;EUR
20/01/2026;Depósito;;MYINVESTOR26;0.0;500.0;EUR
10/01/2026;Intereses;;PERIODO 09/12/2025 09/01/2026;0.0;0.19;EUR
10/12/2025;Intereses;;PERIODO 09/11/2025 09/12/2025;0.0;0.19;EUR
11/11/2025;Depósito;;nan;0.0;500.0;EUR
10/11/2025;Intereses;;PERIODO 09/10/2025 09/11/2025;0.0;0.03;EUR
16/10/2025;Depósito;;nan;0.0;100.0;EUR
14/10/2025;Depósito;;nan;0.0;500.0;EUR
10/10/2025;Intereses;;PERIODO 09/09/2025 09/10/2025;0.0;0.05;EUR
24/09/2025;Depósito;;Enviada desde Revolut;0.0;250.0;EUR
24/09/2025;Depósito;;INVERSION;0.0;500.0;EUR
10/09/2025;Intereses;;PERIODO 09/08/2025 09/09/2025;0.0;0.06;EUR
10/08/2025;Intereses;;PERIODO 09/07/2025 09/08/2025;0.0;0.1;EUR
31/07/2025;Depósito;;MYINVESTOR;0.0;500.0;EUR
10/07/2025;Intereses;;PERIODO 09/06/2025 09/07/2025;0.0;0.11;EUR
03/07/2025;Depósito;;MYINVESTOR;0.0;150.0;EUR
01/07/2025;Depósito;;nan;0.0;400.0;EUR
10/06/2025;Intereses;;PERIODO 09/05/2025 09/06/2025;0.0;0.05;EUR
09/06/2025;Depósito;;MYINVESTOR;0.0;600.0;EUR
02/06/2025;Depósito;;MY INVESTOR;0.0;400.0;EUR
10/05/2025;Intereses;;PERIODO 09/04/2025 09/05/2025;0.0;0.12;EUR
30/04/2025;Depósito;;MYINVESTOR;0.0;400.0;EUR
22/04/2025;Depósito;;MYINVESTOR;0.0;200.0;EUR
10/04/2025;Intereses;;PERIODO 09/03/2025 09/04/2025;0.0;0.17;EUR
02/04/2025;Depósito;;MYINVESTOR;0.0;300.0;EUR
14/03/2025;Dividendo;DE0008474149;DWS ARTIFICIAL INTELLIGENCE DI;33.203;0.14;EUR
10/03/2025;Intereses;;PERIODO 09/02/2025 09/03/2025;0.0;0.68;EUR
10/02/2025;Intereses;;PERIODO 09/01/2025 09/02/2025;0.0;0.79;EUR
05/02/2025;Depósito;;nan;0.0;1000.0;EUR
30/01/2025;Depósito;;INVERSI.N;0.0;3000.0;EUR
10/01/2025;Intereses;;PERIODO 09/12/2024 09/01/2025;0.0;0.27;EUR
16/12/2024;Depósito;;MYINVESTOR;0.0;400.0;EUR
10/12/2024;Intereses;;PERIODO 09/11/2024 09/12/2024;0.0;0.3;EUR
10/11/2024;Intereses;;PERIODO 09/10/2024 09/11/2024;0.0;0.67;EUR
10/10/2024;Intereses;;PERIODO 09/09/2024 09/10/2024;0.0;3.09;EUR
12/09/2024;Intereses;;PROMOCION AMIGO 2023 INV;0.0;3.8;EUR
12/09/2024;Intereses;;PROMOCION AMIGO 2023 INV;0.0;20.0;EUR
11/09/2024;Depósito;;MYINVESTOR;0.0;3000.0;EUR
;;;;;;
